animal_de,start_utc,end_utc,year_for_pillar,stem,branch,element,yin_yang,note
Tiger,1950-02-04T09:20:45.190429+00:00,1951-02-04T15:13:26.176757+00:00,1950,Geng,Yin,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Hase,1951-02-04T15:13:26.176757+00:00,1952-02-04T20:52:52.192382+00:00,1951,Xin,Mao,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,1952-02-04T20:52:52.192382+00:00,1953-02-04T02:45:52.954101+00:00,1952,Ren,Chen,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,1953-02-04T02:45:52.954101+00:00,1954-02-04T08:30:40.649413+00:00,1953,Gui,Si,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Pferd,1954-02-04T08:30:40.649413+00:00,1955-02-04T14:17:35.346679+00:00,1954,Jia,Wu,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Ziege,1955-02-04T14:17:35.346679+00:00,1956-02-04T20:11:55.209960+00:00,1955,Yi,Wei,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
Affe,1956-02-04T20:11:55.209960+00:00,1957-02-04T01:54:37.221679+00:00,1956,Bing,Shen,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Hahn,1957-02-04T01:54:37.221679+00:00,1958-02-04T07:49:10.708007+00:00,1957,Ding,You,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Hund,1958-02-04T07:49:10.708007+00:00,1959-02-04T13:42:10.151366+00:00,1958,Wu,Xu,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Schwein,1959-02-04T13:42:10.151366+00:00,1960-02-04T19:23:08.452148+00:00,1959,Ji,Hai,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Ratte,1960-02-04T19:23:08.452148+00:00,1961-02-04T01:22:24.946288+00:00,1960,Geng,Zi,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Büffel,1961-02-04T01:22:24.946288+00:00,1962-02-04T07:17:19.526366+00:00,1961,Xin,Chou,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Tiger,1962-02-04T07:17:19.526366+00:00,1963-02-04T13:07:43.842773+00:00,1962,Ren,Yin,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Hase,1963-02-04T13:07:43.842773+00:00,1964-02-04T19:04:55.092773+00:00,1963,Gui,Mao,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,1964-02-04T19:04:55.092773+00:00,1965-02-04T00:46:06.137695+00:00,1964,Jia,Chen,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,1965-02-04T00:46:06.137695+00:00,1966-02-04T06:37:49.555663+00:00,1965,Yi,Si,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
Pferd,1966-02-04T06:37:49.555663+00:00,1967-02-04T12:30:48.999023+00:00,1966,Bing,Wu,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Ziege,1967-02-04T12:30:48.999023+00:00,1968-02-04T18:07:23.627929+00:00,1967,Ding,Wei,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Affe,1968-02-04T18:07:23.627929+00:00,1969-02-03T23:58:52.543945+00:00,1968,Wu,Shen,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Hahn,1969-02-03T23:58:52.543945+00:00,1970-02-04T05:45:42.846679+00:00,1969,Ji,You,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Hund,1970-02-04T05:45:42.846679+00:00,1971-02-04T11:25:24.243163+00:00,1970,Geng,Xu,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Schwein,1971-02-04T11:25:24.243163+00:00,1972-02-04T17:20:11.791991+00:00,1971,Xin,Hai,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Ratte,1972-02-04T17:20:11.791991+00:00,1973-02-03T23:04:11.147460+00:00,1972,Ren,Zi,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Büffel,1973-02-03T23:04:11.147460+00:00,1974-02-04T05:00:05.053710+00:00,1973,Gui,Chou,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Tiger,1974-02-04T05:00:05.053710+00:00,1975-02-04T10:59:10.561523+00:00,1974,Jia,Yin,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Hase,1975-02-04T10:59:10.561523+00:00,1976-02-04T16:39:27.553710+00:00,1975,Yi,Mao,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,1976-02-04T16:39:27.553710+00:00,1977-02-03T22:33:25.004882+00:00,1976,Bing,Chen,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,1977-02-03T22:33:25.004882+00:00,1978-02-04T04:26:57.407226+00:00,1977,Ding,Si,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Pferd,1978-02-04T04:26:57.407226+00:00,1979-02-04T10:12:17.182616+00:00,1978,Wu,Wu,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Ziege,1979-02-04T10:12:17.182616+00:00,1980-02-04T16:09:27.553710+00:00,1979,Ji,Wei,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Affe,1980-02-04T16:09:27.553710+00:00,1981-02-03T21:55:22.924804+00:00,1980,Geng,Shen,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Hahn,1981-02-03T21:55:22.924804+00:00,1982-02-04T03:45:28.344726+00:00,1981,Xin,You,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
